#CLOSEST_00001[Frame] CLOSEST_00001[Mol] CLOSEST_00001[Dist] CLOSEST_00001[FirstAtm]
                    1              23494              1.2655                   74909
                    1              12876              4.9736                   43055
                    1               7314              6.2559                   26369
                    1              14350              6.5217                   47477
                    1               5943              6.6171                   22256
                    1               7685              7.1794                   27482
                    1               9874              7.2892                   34049
                    1              16010              7.3583                   52457
                    1              17224              7.8237                   56099
                    1              12308              8.4660                   41351
                    1               9947              8.9568                   34268
                    1               6053              9.0317                   22586
                    1              16667              9.2163                   54428
                    1               3319              9.2489                   14384
                    1                252              9.4345                    5183
                    1              19636              9.4844                   63335
                    1              11044              9.6733                   37559
                    1               7926              9.7978                   28205
                    1              21464              9.9487                   68819
                    1              19523             10.3753                   62996
                    1              11167             10.4062                   37928
                    1              17110             10.7871                   55757
                    1              12521             10.8398                   41990
                    1              24159             10.9202                   76904
                    1              23176             11.0134                   73955
                    1              11496             11.3212                   38915
                    1              17097             11.5711                   55718
                    1              11210             11.5994                   38057
                    1               6626             11.6441                   24305
                    1              21982             11.7618                   70373
                    1              18066             11.7659                   58625
                    1              21650             11.8663                   69377
                    1              17112             11.9048                   55763
                    1              16179             12.0586                   52964
                    1              15713             12.1526                   51566
                    1              10306             12.1984                   35345
                    1              22827             12.2078                   72908
                    1              10758             12.7053                   36701
                    1              13677             12.7275                   45458
                    1              22939             12.7576                   73244
                    1              13275             12.7922                   44252
                    1              21705             12.8181                   69542
                    1               5692             12.9131                   21503
                    1               9004             13.3569                   31439
                    1              13330             13.6245                   44417
                    1              22604             13.6530                   72239
                    1               3457             13.7399                   14798
                    1               8988             13.7476                   31391
                    1                 40             13.7521                    4547
                    1              11958             13.8000                   40301
                    1              12755             13.8002                   42692
                    1               3399             13.8522                   14624
                    1              22920             13.9038                   73187
                    1              17399             14.2750                   56624
                    1              17123             14.3084                   55796
                    1              17144             14.3236                   55859
                    1              12752             14.4125                   42683
                    1               6672             14.4177                   24443
                    1              18095             14.4256                   58712
                    1              18032             14.5495                   58523
                    1               6918             14.6054                   25181
                    1               2441             14.6719                   11750
                    1              10190             14.6794                   34997
                    1              21306             14.7132                   68345
                    1              17217             14.7361                   56078
                    1               5161             14.8139                   19910
                    1              19172             14.9109                   61943
                    1              14683             14.9469                   48476
                    1               7230             15.1594                   26117
                    1              20113             15.1996                   64766
                    1                877             15.2195                    7058
                    1              17584             15.2251                   57179
                    1              21110             15.2304                   67757
                    1              20627             15.2874                   66308
                    1              19552             15.2890                   63083
                    1               3482             15.3903                   14873
                    1               5611             15.5316                   21260
                    1               7175             15.5566                   25952
                    1               8447             15.6249                   29768
                    1              16516             15.6450                   53975
                    1               6221             15.6923                   23090
                    1              17336             15.6941                   56435
                    1               3904             15.7067                   16139
                    1               9083             15.7203                   31676
                    1               6271             15.7685                   23240
                    1               7435             15.7824                   26732
                    1               7158             15.7986                   25901
                    1              13878             15.8274                   46061
                    1              17780             15.8837                   57767
                    1              21991             15.9148                   70400
                    1               1776             15.9308                    9755
                    1               5371             15.9420                   20540
                    1               9195             15.9600                   32012
                    1                963             15.9821                    7316
                    1              15030             15.9862                   49517
                    1              18851             15.9905                   60980
                    1               4826             16.0443                   18905
                    1               4304             16.0994                   17339
                    1               6389             16.1942                   23594
                    1              19754             16.2043                   63689
                    1               9606             16.2213                   33245
                    1              16216             16.2379                   53075
                    1              13179             16.2493                   43964
                    1              20311             16.2928                   65360
                    1              19464             16.2963                   62819
                    1               3090             16.3778                   13697
                    1              11344             16.4287                   38459
                    1              16128             16.4298                   52811
                    1              18591             16.5677                   60200
                    1               9604             16.5785                   33239
                    1               9324             16.5787                   32399
                    1              21160             16.7308                   67907
                    1              16953             16.7322                   55286
                    1              13295             16.7562                   44312
                    1              14328             16.7808                   47411
                    1               5882             16.8192                   22073
                    1               1152             16.8232                    7883
                    1              21347             16.8321                   68468
                    1              22366             16.8478                   71525
                    1              12556             16.8546                   42095
                    1              22655             16.8606                   72392
                    1               4839             16.8762                   18944
                    1               3783             16.9170                   15776
                    1               6831             16.9319                   24920
                    1              20689             16.9537                   66494
                    1              14035             17.0302                   46532
                    1              13328             17.0344                   44411
                    1              23506             17.0635                   74945
                    1               8267             17.1107                   29228
                    1              15782             17.1512                   51773
                    1               5033             17.1566                   19526
                    1              16661             17.1574                   54410
                    1               7396             17.1702                   26615
                    1               9298             17.2318                   32321
                    1               3396             17.2841                   14615
                    1              18589             17.2916                   60194
                    1              15849             17.3329                   51974
                    1              15192             17.3361                   50003
                    1              21896             17.3595                   70115
                    1               5139             17.3782                   19844
                    1               8677             17.4181                   30458
                    1              21452             17.4294                   68783
                    1              11633             17.4298                   39326
                    1              16823             17.4762                   54896
                    1              20562             17.4811                   66113
                    1               2430             17.4881                   11717
                    1                 82             17.4911                    4673
                    1              15230             17.5010                   50117
                    1              11478             17.5152                   38861
                    1              15048             17.5381                   49571
                    1              24134             17.5424                   76829
                    1              14401             17.5458                   47630
                    1              13320             17.5555                   44387
                    1              22329             17.5736                   71414
                    1               5582             17.5740                   21173
                    1              15105             17.5804                   49742
                    1              17003             17.5997                   55436
                    1              21235             17.6284                   68132
                    1               7297             17.6361                   26318
                    1              15300             17.6370                   50327
                    1              18608             17.6391                   60251
                    1               5100             17.6549                   19727
                    1              15738             17.6988                   51641
                    1              13928             17.7281                   46211
                    1              21551             17.7340                   69080
                    1               6447             17.7378                   23768
                    1              22209             17.7394                   71054
                    1              10299             17.7610                   35324
                    1               7417             17.7777                   26678
                    1              18519             17.7895                   59984
                    1              24299             17.7933                   77324
                    1               7798             17.7975                   27821
                    1              18496             17.8397                   59915
                    1               8354             17.8466                   29489
                    1                344             17.8568                    5459
                    1              23861             17.8576                   76010
                    1              17590             17.8586                   57197
                    1               3836             17.8834                   15935
                    1              21611             17.8903                   69260
                    1               2961             17.9069                   13310
                    1              13562             17.9483                   45113
                    1               7824             18.0006                   27899
                    1              10724             18.0154                   36599
                    1              15318             18.0288                   50381
                    1               8803             18.0479                   30836
                    1              20131             18.0567                   64820
                    1               4607             18.0640                   18248
                    1               9383             18.0942                   32576
                    1                897             18.1377                    7118
                    1              15773             18.1548                   51746
                    1              17930             18.1630                   58217
                    1              16100             18.1743                   52727
                    1               5194             18.1945                   20009
                    1               1783             18.2006                    9776
                    1               3434             18.2231                   14729
                    1              24220             18.2407                   77087
                    1              12205             18.2559                   41042
                    1              22912             18.2631                   73163
                    1               2622             18.2968                   12293
                    1              12503             18.3392                   41936
                    1              11140             18.3463                   37847
                    1              20374             18.3488                   65549
                    1              11235             18.3512                   38132
                    1               7146             18.3844                   25865
                    1               3994             18.4094                   16409
                    1              18342             18.4197                   59453
                    1               7625             18.4753                   27302
                    1               5214             18.4786                   20069
                    1              11015             18.4805                   37472
                    1               5109             18.4886                   19754
                    1              11821             18.4918                   39890
                    1              11710             18.4924                   39557
                    1              17088             18.5004                   55691
                    1              15249             18.5346                   50174
                    1               1880             18.5375                   10067
                    1               2493             18.5436                   11906
                    1              15521             18.5495                   50990
                    1               2652             18.5571                   12383
                    1              13486             18.5648                   44885
                    1              23813             18.5658                   75866
                    1              12878             18.5717                   43061
                    1               9653             18.5742                   33386
                    1               8199             18.5929                   29024
                    1              23130             18.6095                   73817
                    1               1382             18.6182                    8573
                    1              23031             18.6494                   73520
                    1               6437             18.6902                   23738
                    1              10276             18.6966                   35255
                    1              13308             18.7528                   44351
                    1              13982             18.7731                   46373
                    1              17451             18.7964                   56780
                    1               5576             18.8004                   21155
                    1              13759             18.8303                   45704
                    1              24355             18.8499                   77492
                    1              12258             18.8795                   41201
                    1               4199             18.8951                   17024
                    1              13702             18.9447                   45533
                    1              23871             18.9850                   76040
                    1               5398             18.9863                   20621
                    1               3897             19.0054                   16118
                    1              19398             19.0210                   62621
                    1               7454             19.0292                   26789
                    1              19926             19.0453                   64205
                    1              23596             19.0913                   75215
                    1               2071             19.1048                   10640
                    1               1431             19.1195                    8720
                    1              11481             19.1223                   38870
                    1               7093             19.1334                   25706
                    1              21027             19.1418                   67508
                    1              23310             19.1454                   74357
                    1              19249             19.1503                   62174
                    1              14788             19.1695                   48791
                    1              16468             19.1725                   53831
                    1              18316             19.1768                   59375
                    1              10172             19.1780                   34943
                    1              22322             19.1968                   71393
                    1              13652             19.1970                   45383
                    1              18414             19.2137                   59669
                    1               4484             19.2280                   17879
                    1               2311             19.2387                   11360
                    1              11482             19.2493                   38873
                    1              24314             19.2841                   77369
                    1               6857             19.2924                   24998
                    1              21965             19.3087                   70322
                    1               3941             19.3089                   16250
                    1              15191             19.3197                   50000
                    1              17694             19.3301                   57509
                    1              23301             19.3336                   74330
                    1               8706             19.3345                   30545
                    1              19875             19.3379                   64052
                    1               7628             19.3419                   27311
                    1               9897             19.3893                   34118
                    1              20608             19.3999                   66251
                    1               8120             19.4140                   28787
                    1               3119             19.4252                   13784
                    1               7642             19.4328                   27353
                    1               6202             19.4449                   23033
                    1              21189             19.4536                   67994
                    1                374             19.4652                    5549
                    1              18624             19.4761                   60299
                    1              13169             19.4890                   43934
                    1              18038             19.5245                   58541
                    1              22829             19.5280                   72914
                    1              18068             19.5405                   58631
                    1              11446             19.5534                   38765
                    1              22008             19.5783                   70451
                    1              23814             19.5851                   75869
                    1               5289             19.6061                   20294
                    1              23026             19.6214                   73505
                    1               1432             19.6773                    8723
                    1              10010             19.6805                   34457
                    1              17972             19.6809                   58343
                    1               8270             19.6910                   29237
                    1               3129             19.7005                   13814
                    1              13731             19.7036                   45620
                    1               3568             19.7047                   15131
                    1                505             19.7118                    5942
                    1               8793             19.7251                   30806
                    1               1988             19.7277                   10391
                    1               6433             19.7324                   23726
                    1              19548             19.7353                   63071
                    1               9809             19.7407                   33854
                    1               3616             19.7598                   15275
                    1              21073             19.7740                   67646
                    1               5207             19.7809                   20048
                    1              14159             19.8270                   46904
                    1              20109             19.8277                   64754
                    1               3837             19.8311                   15938
                    1              14514             19.8328                   47969
                    1              13314             19.8413                   44369
                    1              22522             19.8656                   71993
                    1               9552             19.8984                   33083
                    1               8881             19.9151                   31070
                    1              14405             19.9164                   47642
                    1              19222             19.9369                   62093
                    1              21061             19.9498                   67610
                    1              21369             19.9724                   68534
                    1              22868             19.9802                   73031
                    1               9739             20.0150                   33644
                    1              18330             20.0185                   59417
                    1              20155             20.0228                   64892
                    1               4916             20.0273                   19175
                    1               8276             20.0447                   29255
                    1              12024             20.0542                   40499
                    1              23993             20.0604                   76406
                    1               7774             20.0643                   27749
                    1              16105             20.0795                   52742
                    1              10910             20.0814                   37157
                    1               2060             20.0857                   10607
                    1               5460             20.0896                   20807
                    1              15020             20.0902                   49487
                    1              14039             20.0989                   46544
                    1              10301             20.1041                   35330
                    1               4298             20.1167                   17321
                    1              14729             20.1195                   48614
                    1              22096             20.1468                   70715
                    1               2466             20.1542                   11825
                    1               5306             20.1603                   20345
                    1               3451             20.1643                   14780
                    1              18282             20.1707                   59273
                    1               8232             20.1720                   29123
                    1               6539             20.1852                   24044
                    1              22825             20.2245                   72902
                    1              22650             20.2253                   72377
                    1              21892             20.2267                   70103
                    1                833             20.2547                    6926
                    1               7727             20.2547                   27608
                    1               9382             20.2573                   32573
                    1              20033             20.2655                   64526
